Date,Amount of irrigaiton,,,,
NA,Unknown,,,,
2/08/2000,6.2,,,,
16/08/2000,7.75,,,,
27/11/2000,7.75,,,,
28/11/2000,13.95,,,,
30/11/2000,12.4,,,,
1/12/2000,7.75,,,,
4/12/2000,18.6,,,,
5/12/2000,9.3,,,,
6/12/2000,18.6,,,,
8/12/2000,18.6,,,,
11/12/2000,18.6,,,,
14/12/2000,18.6,,,,
19/12/2000,18.6,,,,
22/12/2000,18.6,,,,
29/12/2000,24.8,,,,
2/01/2001,18.6,,,,
4/01/2001,9.3,,,,
8/01/2001,17.05,,,,
10/01/2001,18.6,,,,
13/01/2001,18.6,,,,
14/01/2001,6.2,,,,
16/01/2001,21.7,,,,
19/01/2001,18.6,,,,
22/01/2001,18.6,,,,
24/01/2001,18.6,,,,
29/01/2001,18.6,,,,
2/02/2001,18.6,,,,
5/02/2001,18.6,,,,
9/02/2001,18.6,,,,
17/02/2001,18.6,,,,
21/02/2001,18.6,,,,
25/02/2001,18.6,,,,
1/03/2001,27.9,,,,
6/03/2001,18.6,,,,
