"","DayOfYear","Tmean","daily_thermal_time","cumul_thermal_time","cumul_thermal_time_dormancy","cumul_vern_days","vern_fac","Berry_thermal_time","sum_daily_thermal_time","days_since_bud_burst","Matdtt","FFulindex","iStage","Vcarbo","Pcarb","Vreserve","aeration_stress","soil_water_stress1","soil_water_stress2","Cpool","vcarbo_limits_swdf","vcarbo_limits_air","vcarbo_limits_salt","shoot_num","berry_num_shoot","berry_num_vine","BerryDw","SugarDw","FruitDw","BerryStage","Brix","FruitSink","VLeafwt","VStemwt","VRootwt","root_growth","stem_growth","leaf_growth","LAI","LatNo","shoot_sqm","VineEop","Tru","total_soil_water","rain","ponding","irrigation","drainage","root_uptake","evap","Pesw","water_table","ATheta","soil_water_deficit","soil_water","infiltration","runoff","salt_stress1","salt_stress2"
"1",2019-01-01,24.9,16.64643275,0,0,0,0,13.64643275,16.64643275,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2019-01-02,25.85,17.571166875,0,0,0,0,14.571166875,34.217599625,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2019-01-03,28.2,16.2351705,0,0,0,0,13.2351705,50.452770125,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2019-01-04,32.3,13.609485,0,0,0,0,10.609485,64.062255125,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2019-01-05,21.4,13.9,0,0,0,0,10.9,77.962255125,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2019-01-06,20.6,13.1,0,0,0,0,10.1,91.062255125,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2019-01-07,22.2,14.7,0,0,0,0,11.7,105.762255125,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2019-01-08,22.8,15.3,0,0,0,0,12.3,121.062255125,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2019-01-09,20.5,13,0,0,0,0,10,134.062255125,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2019-01-10,20.75,13.25,0,0,0,0,10.25,147.312255125,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2019-01-11,25.3,14.91806125,0,0,0,0,11.91806125,162.230316375,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2019-01-12,27.45,17.230247375,0,0,0,0,14.230247375,179.46056375,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2019-01-13,25.55,16.502924625,0,0,0,0,13.502924625,195.963488375,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2019-01-14,28.9,13.750762,0,0,0,0,10.750762,209.714250375,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2019-01-15,30.9,13.86137,0,0,0,0,10.86137,223.575620375,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2019-01-16,30.15,14.82702025,0,0,0,0,11.82702025,238.402640625,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2019-01-17,32.95,17.741518125,0,0,0,0,14.741518125,256.14415875,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2019-01-18,28.35,20.85,0,0,0,0,17.85,276.99415875,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2019-01-19,23,15.5,0,0,0,0,12.5,292.49415875,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2019-01-20,25.8,17.84732825,0,0,0,0,14.84732825,310.341487,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2019-01-21,29.2,17.456623,0,0,0,0,14.456623,327.79811,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2019-01-22,31.75,15.93323625,0,0,0,0,12.93323625,343.73134625,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2019-01-23,32.45,17.462420625,0,0,0,0,14.462420625,361.193766875,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2019-01-24,33.5,13.19581625,0,0,0,0,10.19581625,374.389583125,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",2019-01-25,32.1,17.3413695,0,0,0,0,14.3413695,391.730952625,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",2019-01-26,26,18.5,0,0,0,0,15.5,410.230952625,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2019-01-27,22.2,14.7,0,0,0,0,11.7,424.930952625,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2019-01-28,22.6,15.1,0,0,0,0,12.1,440.030952625,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",2019-01-29,25.95,17.098997375,0,0,0,0,14.098997375,457.12995,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",2019-01-30,28.95,14.63343925,0,0,0,0,11.63343925,471.76338925,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",2019-01-31,21.85,14.35,0,0,0,0,11.35,486.11338925,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",2019-02-01,21.1,13.6,0,0,0,0,10.6,499.71338925,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",2019-02-02,24.45,15.284529125,0,0,0,0,12.284529125,514.997918375,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",2019-02-03,30.4,14.045745,0,0,0,0,11.045745,529.043663375,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",2019-02-04,24.25,16.75,0,0,0,0,13.75,545.793663375,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",2019-02-05,24.45,16.95,0,0,0,0,13.95,562.743663375,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",2019-02-06,23.15,15.65,0,0,0,0,12.65,578.393663375,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",2019-02-07,25.6,18.1,0,0,0,0,15.1,596.493663375,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",2019-02-08,21.2,13.7,0,0,0,0,10.7,610.193663375,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",2019-02-09,19.5,12,0,0,0,0,9,622.193663375,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",2019-02-10,17.55,10.05,0,0,0.03461,0,7.05,632.243663375,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",2019-02-11,21.2,13.7,0,0,0,0,10.7,645.943663375,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",2019-02-12,20.55,13.05,0,0,0,0,10.05,658.993663375,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",2019-02-13,16.85,9.35,0,0,0.08907,0,6.35,668.343663375,0,0,0,10,0,0,0,0,0,0,0,0.0652422014789232,0.957251134336914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
