Date,SRAD,TMAX,TMIN,RAIN,Dew Pt,WIND,ET
1/01/2019,32.1,36.2,13.6,0,-99,-99,11.6
2/01/2019,29.9,36.1,15.6,0,-99,-99,10.7
3/01/2019,31.9,39.9,16.5,0,-99,-99,9.2
4/01/2019,30.8,44.7,19.9,0,-99,-99,14.2
5/01/2019,26.5,27.3,15.5,0,-99,-99,12
6/01/2019,31.8,30.1,11.1,0,-99,-99,1.2
7/01/2019,24.5,30.8,13.6,0,-99,-99,4.8
8/01/2019,31.6,32.6,13,0,-99,-99,9.7
9/01/2019,31.5,27.9,13.1,0,-99,-99,10.4
10/01/2019,27.8,30.5,11,0,-99,-99,10.5
11/01/2019,30,38.8,11.8,0,-99,-99,6.7
12/01/2019,31.2,38.3,16.6,0,-99,-99,10
13/01/2019,31.2,37.1,14,0,-99,-99,9.4
14/01/2019,31,42.7,15.1,0,-99,-99,10.6
15/01/2019,23.6,43.9,17.9,0,-99,-99,11.2
16/01/2019,23.2,42.5,17.8,0,-99,-99,12
17/01/2019,24.2,41.3,24.6,0,-99,-99,15.75
18/01/2019,13.5,33.9,22.8,0,-99,-99,19.5
19/01/2019,28.9,31.9,14.1,0,-99,-99,9.6
20/01/2019,29.7,35.7,15.9,0,-99,-99,4.6
21/01/2019,29.6,39.4,19,0,-99,-99,8.8
22/01/2019,28.9,42.5,21,0,-99,-99,8.3
23/01/2019,30.1,41.4,23.5,0,-99,-99,8
24/01/2019,30,45.4,21.6,0,-99,-99,9.7
25/01/2019,27.3,41.4,22.8,0,-99,-99,8
26/01/2019,25.5,32.6,19.4,0,-99,-99,9.3
27/01/2019,16.3,27.8,16.6,5,-99,-99,10.8
28/01/2019,29.8,32.3,12.9,0,-99,-99,10.7
29/01/2019,29.5,36.8,15.1,0,-99,-99,9.2
30/01/2019,29.1,41.9,16,0,-99,-99,8.7
31/01/2019,28.9,28.3,15.4,0,-99,-99,11.6
1/02/2019,29.1,30.2,12,0,-99,-99,10.2
2/02/2019,28.9,37.4,11.5,0,-99,-99,4.5
3/02/2019,26.5,43.4,17.4,0,-99,-99,6.5
4/02/2019,22.2,30.9,17.6,0,-99,-99,8
5/02/2019,28.6,33.6,15.3,0.3,-99,-99,9
6/02/2019,11.6,27.9,18.4,0,-99,-99,9.8
7/02/2019,27.3,33.4,17.8,2.4,-99,-99,8
8/02/2019,24.1,27.1,15.3,0,-99,-99,8.7
9/02/2019,24.2,25.1,13.9,0,-99,-99,11.6
10/02/2019,24.7,27.4,7.7,0,-99,-99,14.4
11/02/2019,27.4,31.2,11.2,0,-99,-99,17.2
12/02/2019,17.2,24.1,17,0,-99,-99,9.6
13/02/2019,23.1,24.1,9.6,0,-99,-99,6.6
14/02/2019,27.1,27,6.8,0,-99,-99,9
