Dataset,Filename,DateTime,Longitude,Latitude,LAIm,LAIe,Canopy cover (ff),Ground Cover (fc),Canopy Porosity,clumping index,k,Big gaps ,Total Gaps,Total pixels
LRC_47_SHZ_PAI_2020_09_21,IMG_3512.JPG,2020:09:21 10:11:20,140.5983722,-34.43781667,0.311908884,0.253545564,0.157090591,0.312365581,0.49709379,0.782718459,0.7,4926323,6038737.875,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3513.JPG,2020:09:21 10:11:33,140.5984194,-34.43780556,0.334509748,0.271917431,0.18071447,0.431528225,0.581222133,0.851235595,0.7,4072622.75,5869492.625,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3514.JPG,2020:09:21 10:11:49,140.5984806,-34.43779444,0.272339861,0.22138056,0.140076837,0.292555338,0.521195414,0.791617183,0.7,5068246.75,6160627.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3515.JPG,2020:09:21 10:11:55,140.598525,-34.43779722,0.245739159,0.199757291,0.124278492,0.249439222,0.501768444,0.771475111,0.7,5377137.5,6273809,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3516.JPG,2020:09:21 10:12:02,140.5985861,-34.43780833,0.262190656,0.21313044,0.13661907,0.294785641,0.536547746,0.800395109,0.7,5052268.5,6185399.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3517.JPG,2020:09:21 10:12:09,140.5986472,-34.43781667,0.261992922,0.212969705,0.13069772,0.254504436,0.486461919,0.763730369,0.7,5340849.5,6227820.625,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3518.JPG,2020:09:21 10:12:16,140.5986778,-34.43781389,0.265690972,0.215975789,0.127267816,0.228596269,0.443263809,0.731927377,0.7,5526459.75,6252393,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3519.JPG,2020:09:21 10:12:23,140.5987389,-34.43780833,0.334035264,0.271531731,0.159508128,0.284880415,0.440087421,0.743155055,0.7,5123231.125,6021418.25,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3520.JPG,2020:09:21 10:12:31,140.5987861,-34.43780556,0.259803357,0.211189844,0.118429045,0.195691313,0.394817056,0.693105454,0.7,5762196.125,6315715.375,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3521.JPG,2020:09:21 10:12:38,140.5988611,-34.43780833,0.242467979,0.197098202,0.11074798,0.183565205,0.396683156,0.691546968,0.7,5849069.5,6370743.75,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3522.JPG,2020:09:21 10:12:45,140.5989389,-34.437825,0.230972431,0.187753662,0.115396484,0.225439828,0.488127342,0.758382032,0.7,5549073,6337441.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3523.JPG,2020:09:21 10:12:51,140.5989694,-34.43781944,0.275050109,0.223583676,0.14126548,0.293997063,0.519500371,0.791001122,0.7,5057918,6152111.5,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3524.JPG,2020:09:21 10:12:58,140.5990306,-34.43779444,0.305882252,0.248646614,0.141779759,0.240556569,0.410617806,0.714068052,0.7,5440774.25,6148427.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3525.JPG,2020:09:21 10:13:05,140.599075,-34.4378,0.331353326,0.269351628,0.112256287,0.137911964,0.186029379,0.513358744,0.7,6176136.625,6359938,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3526.JPG,2020:09:21 10:13:11,140.5991222,-34.43778611,0.202004487,0.1642061,0.107696227,0.247307535,0.564525089,0.805842435,0.7,5392409.25,6392607,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3527.JPG,2020:09:21 10:13:18,140.5991528,-34.4378,0.227566811,0.18498529,0.127123312,0.339244587,0.62527534,0.853507491,0.7,4733757.5,6253428.25,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3528.JPG,2020:09:21 10:13:25,140.5992139,-34.43779722,0.178845727,0.145380728,0.081255357,0.133585829,0.391736703,0.676936649,0.7,6207129.75,6582033.625,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3529.JPG,2020:09:21 10:13:32,140.5992889,-34.43778889,0.185110685,0.150473408,0.092054424,0.178054999,0.483000056,0.745274884,0.7,5888545.5,6504667.375,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3530.JPG,2020:09:21 10:13:39,140.5993056,-34.43779722,0.258386252,0.210037903,0.140026954,0.33759982,0.585227997,0.834046099,0.7,4745540.875,6160984.5,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3533.JPG,2020:09:21 10:13:57,140.5993333,-34.43776389,0.190082149,0.154514629,0.095683234,0.190037789,0.496504169,0.755880521,0.7,5802698.875,6478670,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3534.JPG,2020:09:21 10:14:03,140.5992889,-34.43776389,0.227069618,0.18458113,0.124592416,0.312536955,0.601351412,0.837161066,0.7,4925095.25,6271560,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3535.JPG,2020:09:21 10:14:10,140.5992444,-34.43776667,0.232827042,0.189261244,0.115553952,0.222572343,0.480825198,0.753433373,0.7,5569616.125,6336313,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3536.JPG,2020:09:21 10:14:17,140.5991833,-34.43776389,0.274537481,0.22316697,0.136491089,0.263863419,0.482720683,0.763627513,0.7,5273800.25,6186316,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3537.JPG,2020:09:21 10:14:24,140.5991361,-34.43776667,0.217181139,0.17654295,0.117787675,0.28466331,0.586221087,0.824344936,0.7,5124786.5,6320310.25,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3538.JPG,2020:09:21 10:14:32,140.5990917,-34.43775833,0.216654885,0.176115166,0.120571689,0.317438105,0.620172602,0.847188242,0.7,4889982.625,6300365.125,7164160
LRC_47_SHZ_PAI_2020_09_21,IMG_3539.JPG,2020:09:21 10:14:38,140.5990444,-34.43775556,0.282257893,0.229442764,0.143992579,0.294877348,0.511686536,0.7869006,0.7,5051611.5,6132574.125,7164160
