Date,SRAD,TMAX,TMIN,RAIN,Dew Pt,WIND,ET
1/01/1997,26,29.5,13,0,-99,-99,11
2/01/1997,29,32,13,0,-99,-99,8.8
3/01/1997,25,34,16.5,0,-99,-99,10.2
4/01/1997,28,37,18,0,-99,-99,11.6
5/01/1997,28,37.5,21.5,0,-99,-99,14.4
6/01/1997,27,37,23.5,0,-99,-99,13.2
7/01/1997,31,25,11,0,-99,-99,9.4
8/01/1997,30,27.5,11,0,-99,-99,9
9/01/1997,29,32,14,0,-99,-99,10.8
10/01/1997,19,32.5,16.5,0,-99,-99,11.6
11/01/1997,25,32.5,16,0,-99,-99,11.4
12/01/1997,18,32,19.5,0,-99,-99,10.2
13/01/1997,23,34,20,0,-99,-99,12.8
14/01/1997,26,33.5,21,0,-99,-99,11.8
15/01/1997,19,25.5,20,5.7,-99,-99,6.6
16/01/1997,31,28,13,0,-99,-99,9.8
17/01/1997,31,30.5,12.5,0,-99,-99,9.6
18/01/1997,31,33.5,14,0,-99,-99,9.8
19/01/1997,30,39.5,18,0,-99,-99,10.4
20/01/1997,25,40,24.5,0,-99,-99,18.2
21/01/1997,27,39,27.5,0,-99,-99,13
22/01/1997,15,24,14,6.4,-99,-99,4
23/01/1997,30,27,14,0.1,-99,-99,5
24/01/1997,29,28.5,13,0,-99,-99,9.4
25/01/1997,30,32,13.5,0,-99,-99,8
26/01/1997,21,34.5,16.5,0,-99,-99,12.6
27/01/1997,23,36,25.5,1,-99,-99,11.2
28/01/1997,25,29.5,17,0.1,-99,-99,9.8
29/01/1997,30,30.5,15,0,-99,-99,8.2
30/01/1997,29,35,16,0,-99,-99,9
31/01/1997,26,37.5,21.5,0,-99,-99,10.6
1/02/1997,28,38,21.5,0,-99,-99,12.6
2/02/1997,29,36.5,17,0,-99,-99,12
3/02/1997,29,39,19,0,-99,-99,10.6
4/02/1997,24,39.5,23.5,0,-99,-99,13.4
5/02/1997,26,40,24.5,0,-99,-99,13.6
6/02/1997,16,38.5,28,0.7,-99,-99,12.6
7/02/1997,13,28.5,22.5,8.2,-99,-99,4.8
8/02/1997,17,28.5,23,0.7,-99,-99,3.4
9/02/1997,19,29,22.5,5,-99,-99,6.4
10/02/1997,23,29,17.5,18.4,-99,-99,8.6
11/02/1997,25,28,15.5,0,-99,-99,7.2
12/02/1997,26,32.5,16,0,-99,-99,6.4
13/02/1997,22,35,18,0,-99,-99,8
14/02/1997,26,37,21,0,-99,-99,10.2
15/02/1997,25,39,22.5,0,-99,-99,10.2
16/02/1997,23,38.5,21.5,0,-99,-99,12.6
17/02/1997,27,39.5,21,0,-99,-99,11.6
18/02/1997,25,39.5,23,0,-99,-99,10.4
19/02/1997,25,39,23,0,-99,-99,11
20/02/1997,26,40,24,0,-99,-99,11
21/02/1997,21,40,24.5,0,-99,-99,11.2
22/02/1997,25,43,25,0,-99,-99,14.8
23/02/1997,20,36.5,21,0,-99,-99,8.8
24/02/1997,25,31,19,0,-99,-99,11.8
25/02/1997,27,29.5,12.5,0,-99,-99,10
26/02/1997,26,29,13,0,-99,-99,9.4
27/02/1997,26,29,13.5,0,-99,-99,7.4
28/02/1997,26,32.5,12,0,-99,-99,7.6
1/03/1997,21,27.5,17,0,-99,-99,6.8
2/03/1997,26,29,15,0,-99,-99,7.6
3/03/1997,25,30,14,0,-99,-99,8.6
4/03/1997,24,25.5,15.5,0,-99,-99,9.4
5/03/1997,25,27,10,0,-99,-99,7.6
6/03/1997,19,29.5,12.5,0,-99,-99,6.6
7/03/1997,23,32.5,16.5,0,-99,-99,7
8/03/1997,25,29.5,19,0,-99,-99,10.2
9/03/1997,25,25,11.5,0,-99,-99,8.2
10/03/1997,25,25.5,10,0,-99,-99,6.2
11/03/1997,24,29.5,10,0,-99,-99,7.2
12/03/1997,23,32,12,0,-99,-99,9.6
13/03/1997,24,22.5,7.5,0,-99,-99,6.4
14/03/1997,24,25.5,10,0,-99,-99,6.6
15/03/1997,23,24.5,10,0,-99,-99,6.2
16/03/1997,23,25.5,11,0,-99,-99,5.6
17/03/1997,23,27.5,10,0,-99,-99,6.6
18/03/1997,19,34.5,13.5,0,-99,-99,8.8
19/03/1997,21,26.5,15,0,-99,-99,7.2
20/03/1997,19,24.5,11,0,-99,-99,6.2
21/03/1997,17,24,11.5,0,-99,-99,5.2
22/03/1997,21,25,11,0,-99,-99,6.4
23/03/1997,20,21,12,0,-99,-99,5.6
24/03/1997,19,22.5,12,0,-99,-99,5.4
25/03/1997,22,24,7.5,0,-99,-99,3.8
26/03/1997,22,28,10.5,0,-99,-99,6.4
27/03/1997,18,32,11.5,0,-99,-99,7.8
28/03/1997,22,21,6,0,-99,-99,5.2
29/03/1997,18,21.5,6.5,0,-99,-99,4.8
30/03/1997,21,23,7.5,0,-99,-99,5.2
31/03/1997,21,22,8.5,0,-99,-99,5.4
1/04/1997,13,22.5,6,0,-99,-99,4
2/04/1997,12,28,10,0,-99,-99,6.6
3/04/1997,18,22.5,6.5,0,-99,-99,5.4
4/04/1997,20,23,7,0,-99,-99,4.6
5/04/1997,17,23.5,8,0,-99,-99,4
6/04/1997,17,24,12,0,-99,-99,6
7/04/1997,16,18,7.5,0,-99,-99,5.2
8/04/1997,20,19.5,4.5,0,-99,-99,4.4
9/04/1997,20,21,6,0,-99,-99,3.8
10/04/1997,19,22.5,6.5,0,-99,-99,3.6
11/04/1997,19,24,6,0,-99,-99,4.2
12/04/1997,19,27.5,6.5,0,-99,-99,4.8
13/04/1997,15,31.5,9.5,0,-99,-99,5
14/04/1997,19,24,11,0,-99,-99,5.8
15/04/1997,19,21,8,0,-99,-99,4
16/04/1997,19,22,5.5,0,-99,-99,3.4
17/04/1997,17,22.5,4,0,-99,-99,4.2
18/04/1997,14,22,8.5,0,-99,-99,3.2
19/04/1997,17,23,5.5,0,-99,-99,3.6
20/04/1997,15,25,9,0,-99,-99,4.6
21/04/1997,12,29,12.5,0,-99,-99,5.6
22/04/1997,11,28.5,13.5,0,-99,-99,4.2
23/04/1997,13,30.5,14.5,0,-99,-99,7.2
24/04/1997,11,22,13.5,0,-99,-99,3.4
25/04/1997,17,21,6.5,0,-99,-99,2.8
26/04/1997,17,23.5,4.5,0,-99,-99,3.8
27/04/1997,17,25.5,6.5,0,-99,-99,4.8
28/04/1997,12,28,7.5,0,-99,-99,4.8
29/04/1997,10,28.5,13.5,0,-99,-99,4
30/04/1997,10,29,12,0,-99,-99,5.2
1/05/1997,9,27,13.5,0,-99,-99,5
2/05/1997,6,27.5,18,0,-99,-99,3.6
3/05/1997,6,22,16.5,0,-99,-99,2.2
4/05/1997,9,21.5,16.5,0.3,-99,-99,1.6
5/05/1997,15,19.5,6.5,0.7,-99,-99,2.8
6/05/1997,5,15,10,1.7,-99,-99,1
7/05/1997,14,16,7.5,4.2,-99,-99,2.6
8/05/1997,10,15.5,2,0,-99,-99,2.2
9/05/1997,15,15,5,0.4,-99,-99,3.2
10/05/1997,15,16,3,0,-99,-99,2.4
11/05/1997,15,18,5,0,-99,-99,2.8
12/05/1997,12,16,4,0,-99,-99,2.4
13/05/1997,14,16.5,3.5,0,-99,-99,2
14/05/1997,9,17,2.5,0,-99,-99,1.8
15/05/1997,9,18,7.5,0,-99,-99,2
16/05/1997,6,17,10.5,0,-99,-99,1.6
17/05/1997,8,20,12.5,0,-99,-99,3
18/05/1997,10,17.5,4,0,-99,-99,1.4
19/05/1997,10,18,8,0,-99,-99,1.8
20/05/1997,8,18.5,7,0,-99,-99,1.8
21/05/1997,6,19,11.5,0,-99,-99,1
22/05/1997,8,17.5,12,0.4,-99,-99,0.8
23/05/1997,8,17,12,9.4,-99,-99,0.6
24/05/1997,12,19.5,6.5,0.2,-99,-99,2
25/05/1997,10,20,5.5,0,-99,-99,2.6
26/05/1997,10,21.5,9,0.1,-99,-99,1.8
27/05/1997,12,20,6,1.2,-99,-99,2.4
28/05/1997,10,20,8.5,0,-99,-99,3.2
29/05/1997,10,16,10,0.5,-99,-99,1.6
30/05/1997,12,14,1.5,0,-99,-99,1.4
31/05/1997,13,14,-0.5,0,-99,-99,1.6
1/06/1997,12,13.5,-1.5,0,-99,-99,1.2
2/06/1997,8,14.5,1,0,-99,-99,2
3/06/1997,8,18,4,0,-99,-99,1.6
